time,lat,lon,P_1ac,T_28,C_51,S_41,depth,waterlevel
2019-02-22 19:30:05,47.0512439,-122.9053391,36.592,7.68,25700.426,23.838017458848793,3.662517603716197,0.999517603716197
2019-02-22 19:45:05,47.0512439,-122.9053391,34.894,7.715,25646.248,23.760405223046288,3.4927865195563106,0.8297865195563108
2019-02-22 20:00:05,47.0512439,-122.9053391,33.461,7.739,25483.85,23.5794748202317,3.3498229961770254,0.6868229961770256
2019-02-22 20:15:05,47.0512439,-122.9053391,31.633,7.754,25312.084,23.394989782102815,3.1672745518184127,0.5042745518184129
2019-02-22 20:30:05,47.0512439,-122.9053391,29.649,7.765,25219.039,23.293400588447867,2.9688610646116533,0.3058610646116535
2019-02-22 20:45:05,47.0512439,-122.9053391,28.093,7.775,25135.863,23.202574520753302,2.8132530042821595,0.1502530042821597
2019-02-22 21:00:05,47.0512439,-122.9053391,26.341,7.78,24777.871,22.83574565542302,2.6385524370073625,-0.024447562992637284
2019-02-22 21:15:05,47.0512439,-122.9053391,25.407,7.786,24505.941,22.556314598827605,2.5455435104960475,-0.11745648950395227
2019-02-22 21:30:05,47.0512439,-122.9053391,24.468,7.791,24210.316,22.253997872106847,2.4520362380564498,-0.21096376194355004
2019-02-22 21:45:05,47.0512439,-122.9053391,23.699,7.795,23712.734,21.748973062864568,2.3758960258866915,-0.28710397411330835
2019-02-22 22:00:05,47.0512439,-122.9053391,22.988,7.799,23327.803,21.358783140936573,2.305309520592896,-0.35769047940710363
2019-02-22 22:15:05,47.0512439,-122.9053391,22.698,7.804,23210.395,21.23781980614889,2.27644068166027,-0.3865593183397298
2019-02-22 22:30:05,47.0512439,-122.9053391,23.039,7.81,23243.299,21.267529332239306,2.3105891605720053,-0.35241083942799456
2019-02-22 22:45:05,47.0512439,-122.9053391,23.959,7.812,26454.537,24.52436173225482,2.3968448552896082,-0.2661551447103916
2019-02-22 23:00:05,47.0512439,-122.9053391,25.34,7.81,26624.375,24.699536270793512,2.534657461074359,-0.12834253892564096
2019-02-22 23:15:05,47.0512439,-122.9053391,26.93,7.809,26726.605,24.80492689411458,2.6934802413247105,0.030480241324710722
2019-02-22 23:30:05,47.0512439,-122.9053391,29.155,7.807,26812.4,24.894192437496724,2.9158191998240897,0.25281919982408985
2019-02-22 23:45:05,47.0512439,-122.9053391,31.665,7.809,26914.869,24.997943807572643,3.1665949985684643,0.5035949985684645
2019-02-23 00:00:05,47.0512439,-122.9053391,34.144,7.812,27001.598,25.084917996483043,3.414275516316045,0.7512755163160452
2019-02-23 00:15:05,47.0512439,-122.9053391,36.713,7.817,27098.254,25.180764341780744,3.6708980646002516,1.0078980646002518
2019-02-23 00:30:05,47.0512439,-122.9053391,39.277,7.818,27181.918,25.265989130330283,3.927013348692519,1.2640133486925191
2019-02-23 00:45:05,47.0512439,-122.9053391,41.677,7.819,27270.115,25.355903127667858,4.16668408543628,1.5036840854362805
2019-02-23 01:00:05,47.0512439,-122.9053391,44.069,7.819,27333.432,25.420962027649246,4.4056055925863395,1.7426055925863397
2019-02-23 01:15:05,47.0512439,-122.9053391,46.257,7.818,27389.115,25.47887433381203,4.6241350432659445,1.9611350432659447
2019-02-23 01:30:05,47.0512439,-122.9053391,48.285,7.818,27441.859,25.53310251811954,4.826665373391276,2.1636653733912765
2019-02-23 01:45:05,47.0512439,-122.9053391,50.037,7.821,27477.635,25.567846370078264,5.001667168855296,2.3386671688552965
2019-02-23 02:00:05,47.0512439,-122.9053391,51.799,7.82,27534.459,25.626975657842873,5.177559789835287,2.5145597898352876
2019-02-23 02:15:05,47.0512439,-122.9053391,53.388,7.822,27568.105,25.6602207740518,5.3362530545625155,2.6732530545625157
2019-02-23 02:30:05,47.0512439,-122.9053391,54.688,7.812,27582.494,25.681879714339743,5.466093356114838,2.803093356114838
2019-02-23 02:45:05,47.0512439,-122.9053391,55.908,7.817,27609.473,25.706216663822644,5.587931969445278,2.9249319694452782
2019-02-23 03:00:05,47.0512439,-122.9053391,56.805,7.812,27613.535,25.713829342764218,5.677549251515118,3.014549251515118
2019-02-23 03:15:05,47.0512439,-122.9053391,57.36,7.846,27747.428,25.82824787352129,5.732540777554826,3.0695407775548262
2019-02-23 03:30:05,47.0512439,-122.9053391,57.887,7.857,27820.662,25.896024064953416,5.784915803752537,3.1219158037525374
2019-02-23 03:45:05,47.0512439,-122.9053391,57.945,7.841,27823.65,25.910160078340283,5.790637634066263,3.127637634066263
2019-02-23 04:00:05,47.0512439,-122.9053391,57.603,7.853,27866.988,25.94647623236569,5.756308486771373,3.0933084867713734
2019-02-23 04:15:05,47.0512439,-122.9053391,56.951,7.391,26556.225,24.90751468115114,5.6953829608550075,3.0323829608550077
2019-02-23 04:30:05,47.0512439,-122.9053391,55.672,7.807,27811.662,25.921336403129356,5.56341792340993,2.9004179234099303
2019-02-23 04:45:05,47.0512439,-122.9053391,54.351,7.824,27850.426,25.949505306894206,5.431301616895233,2.7683016168952332
